id,name,category,price,amazon_link,coupang_link,description,image_url,specs
PROD_001,AI 기반 스마트 스피커 Pro,electronics,150000,https://amazon.com/dp/B0XXXXX,https://coupang.com/vp/products/XXXXX,음성 인식 기능과 AI 비서 기능을 갖춘 최신형 스마트 스피커,https://via.placeholder.com/400x300?text=Smart+Speaker,"[""음성 제어"",""AI 비서"",""고급 음질"",""스마트홈 연동""]"
PROD_002,초고속 USB-C 충전기 65W,electronics,45000,https://amazon.com/dp/B0YYYYY,https://coupang.com/vp/products/YYYYY,최대 65W 고속 충전 지원 최신 전자기기 호환,https://via.placeholder.com/400x300?text=USB-C+Charger,"[""65W 고속 충전"",""4개 포트"",""안전 인증"",""보증 2년""]"
PROD_003,무선 노이즈 캔슬링 헤드폰,electronics,250000,https://amazon.com/dp/B0ZZZZZ,https://coupang.com/vp/products/ZZZZZ,ANC 기술로 완벽한 소음 차단 30시간 배터리,https://via.placeholder.com/400x300?text=Headphones,"[""노이즈 캔슬링"",""30시간 배터리"",""Bluetooth 5.3"",""편안한 착용감""]"
PROD_004,4K 웹캠 Pro 2024,electronics,120000,https://amazon.com/dp/B01AAAAA,https://coupang.com/vp/products/AAAAA,Ultra HD 4K 영상 자동 노이즈 제거 기능,https://via.placeholder.com/400x300?text=4K+Webcam,"[""4K 해상도"",""자동 피포컬"",""노이즈 제거"",""빠른 연결""]"
PROD_005,휴대용 SSD 1TB 초고속,electronics,180000,https://amazon.com/dp/B02BBBBB,https://coupang.com/vp/products/BBBBB,읽기 속도 1050MB/s 초박형 디자인,https://via.placeholder.com/400x300?text=Portable+SSD,"[""1TB 용량"",""1050MB/s 속도"",""방진 방수"",""초박형""]"
PROD_006,무선 충전 패드 삼중,electronics,65000,https://amazon.com/dp/B03CCCCCC,https://coupang.com/vp/products/CCCCCC,세 개 기기 동시 충전 고속 무선 충전,https://via.placeholder.com/400x300?text=Wireless+Charger,"[""삼중 충전"",""고속 충전"",""멀티 호환"",""LED 표시""]"
PROD_007,게이밍 마우스 Pro Max,electronics,95000,https://amazon.com/dp/B04DDDDDD,https://coupang.com/vp/products/DDDDDD,8000Hz 폴링 레이트 프로게이머 성능,https://via.placeholder.com/400x300?text=Gaming+Mouse,"[""8000Hz 폴링"",""25000 DPI"",""무선 연결"",""RGB LED""]"
PROD_008,기계식 키보드 RGB,electronics,280000,https://amazon.com/dp/B05EEEEEE,https://coupang.com/vp/products/EEEEEE,청축 스위치 프로그래밍 가능 매크로,https://via.placeholder.com/400x300?text=Mechanical+Keyboard,"[""청축 스위치"",""RGB LED"",""알루미늄 프레임"",""USB-C""]"
PROD_009,모니터 암 듀얼 27인치,electronics,150000,https://amazon.com/dp/B06FFFFFF,https://coupang.com/vp/products/FFFFFF,높이 조절 회전 각도 조정 가능,https://via.placeholder.com/400x300?text=Monitor+Arm,"[""듀얼 지원"",""높이 조절"",""회전 가능"",""스탠드 포함""]"
PROD_010,태블릿 스탠드 알루미늄,electronics,35000,https://amazon.com/dp/B07GGGGGG,https://coupang.com/vp/products/GGGGGG,각도 조절 가능 안정적인 구조,https://via.placeholder.com/400x300?text=Tablet+Stand,"[""알루미늄 재질"",""각도 조절"",""휴대용"",""멀티 기기""]"
