observed_at,channel,video_id,published_at,duration_s,title,views,likes,comments
2026-09-19T23:49:19+00:00,200y3b,_ERuOs_qGqE,2026-09-19T22:42:30Z,864,영어 회화 표현 30개 몰아듣기 | 출퇴근 영어 흘려듣기 14분,0,0,0
2026-09-19T23:49:19+00:00,200y3b,eAZ8IBUUrtM,2026-09-19T15:02:55Z,12,"""Let's split the bill."" 무슨 뜻일까? | 매일 영어 한마디",436,7,0
2026-09-19T23:49:19+00:00,200y3b,2vqnr8jY1xc,2026-09-19T10:31:05Z,12,"""I'm swamped."" 무슨 뜻일까? | 매일 영어 한마디",8,0,0
2026-09-19T23:49:19+00:00,200y3b,lZg6igiSTDE,2026-09-19T01:46:34Z,12,"""That's the last straw."" 무슨 뜻일까? | 매일 영어 한마디",514,1,0
2026-09-19T23:49:19+00:00,200y3b,9tE3WXQ-7wc,2026-09-18T15:28:03Z,14,"""I'll hold you to that."" 무슨 뜻일까? | 매일 영어 한마디",109,4,0
2026-09-19T23:49:19+00:00,200y3b,jEQmIGEUVEc,2026-09-18T10:46:24Z,12,"""It's not my cup of tea."" 무슨 뜻일까? | 매일 영어 한마디",179,9,0
2026-09-19T23:49:19+00:00,200y3b,yIlzRnrJp3c,2026-09-18T01:41:51Z,11,"""I'm easy."" 무슨 뜻일까? | 매일 영어 한마디",1011,16,0
2026-09-19T23:49:19+00:00,200y3b,77kqzyKio08,2026-09-17T23:31:52Z,2498,잠들기 전 영어 듣기 42분 | 자면서 듣는 영어 회화 150문장,13,1,0
2026-09-19T23:49:19+00:00,200y3b,PGCCNwcM2Iw,2026-09-17T15:54:15Z,10,"""Let's grab a bite."" 무슨 뜻일까? | 매일 영어 한마디",1385,22,0
2026-09-19T23:49:19+00:00,200y3b,AimkzC29zD4,2026-09-17T11:13:55Z,12,"""I'm not buying it."" 무슨 뜻일까? | 매일 영어 한마디",1151,16,0
2026-09-19T23:49:19+00:00,200y3b,qnoBdsRDYfA,2026-09-17T01:54:45Z,11,"""That's more like it."" 무슨 뜻일까? | 매일 영어 한마디",363,11,0
2026-09-19T23:49:19+00:00,200y3b,XA-WGUr5SRc,2026-09-16T15:47:32Z,13,"""I'll see what I can do."" 무슨 뜻일까? | 매일 영어 한마디",1634,22,0
2026-09-19T23:49:19+00:00,200y3b,_Gpz7AlCn3Y,2026-09-16T11:03:26Z,12,"""It's a long story."" 무슨 뜻일까? | 매일 영어 한마디",638,12,0
2026-09-19T23:49:19+00:00,200y3b,zORNnd9x-V0,2026-09-16T01:50:27Z,12,"""Let's face it."" 무슨 뜻일까? | 매일 영어 한마디",507,19,0
2026-09-19T23:49:19+00:00,200y3b,FpHGi4RS0Fk,2026-09-15T23:25:29Z,902,직장·비즈니스 영어 회화 표현 30개 | 상황별 영어 한마디 15분,29,0,0
2026-09-19T23:49:19+00:00,200y3b,5Mt81jbN3U0,2026-09-15T15:55:46Z,11,"""I'm dying to know."" 무슨 뜻일까? | 매일 영어 한마디",1359,19,0
2026-09-19T23:49:19+00:00,200y3b,rdYk8FqggFo,2026-09-15T11:20:23Z,11,"""You've got this!"" 무슨 뜻일까? | 매일 영어 한마디",275,11,0
2026-09-19T23:49:19+00:00,200y3b,XGMHaUJABEI,2026-09-15T02:00:06Z,12,"""Hang in there."" 무슨 뜻일까? | 매일 영어 한마디",1132,24,0
2026-09-19T23:49:19+00:00,200y3b,7_nsiXYMKpk,2026-09-14T17:16:14Z,11,"""That's a wrap."" 무슨 뜻일까? | 매일 영어 한마디",1994,38,0
2026-09-19T23:49:19+00:00,200y3b,MwPgaA4e1Xo,2026-09-14T12:09:21Z,11,"""I'm over the moon."" 무슨 뜻일까? | 매일 영어 한마디",311,4,0
2026-09-19T23:49:19+00:00,200y3b,jMZR37CA8Gc,2026-09-14T01:50:13Z,11,"""Let's keep in touch."" 무슨 뜻일까? | 매일 영어 한마디",761,19,0
2026-09-19T23:49:19+00:00,200y3b,NmX7i7uUpNA,2026-09-13T22:52:58Z,1629,영어 쉐도잉 연습 45문장 | 원어민 따라 말하기 27분,246,10,0
2026-09-19T23:49:19+00:00,200y3b,F5LXtCaqqAk,2026-09-13T15:19:13Z,12,"""I'll pass this time."" 무슨 뜻일까? | 매일 영어 한마디",1710,20,0
2026-09-19T23:49:19+00:00,200y3b,k84fM45mIvI,2026-09-13T11:18:29Z,12,"""That's news to me."" 무슨 뜻일까? | 매일 영어 한마디",416,7,0
2026-09-19T23:49:19+00:00,200y3b,UUjFBDeU3bg,2026-09-13T01:32:13Z,12,"""I'm counting on you."" 무슨 뜻일까? | 매일 영어 한마디",966,24,0
2026-09-19T23:49:19+00:00,200y3b,IgdMNOugMGw,2026-09-12T22:49:54Z,877,영어 회화 표현 30개 몰아듣기 | 출퇴근 영어 흘려듣기 14분,71,1,0
2026-09-19T23:49:19+00:00,200y3b,tXciYQumCV8,2026-09-12T17:25:51Z,892,여행·공항·호텔 영어 회화 표현 30개 | 상황별 영어 한마디 14분,66,0,0
2026-09-19T23:49:19+00:00,200y3b,Vt9Hgf5lN48,2026-09-12T16:51:28Z,158,이번 주 영어 표현 7개 몰아듣기 | 매일 영어 한마디,15,1,0
2026-09-19T23:49:19+00:00,200y3b,0FWYn9mR1s0,2026-09-12T14:39:28Z,13,"""Let's see how it goes."" 무슨 뜻일까? | 매일 영어 한마디",695,7,0
2026-09-19T23:49:19+00:00,200y3b,Br9LGYqVVRo,2026-09-12T10:18:22Z,11,"""It costs an arm and a leg."" 무슨 뜻일까? | 매일 영어 한마디",233,10,0
2026-09-19T23:49:19+00:00,200y3b,Nqz4FJNhdHY,2026-09-12T01:41:57Z,10,"""I'm in no rush."" 무슨 뜻일까? | 매일 영어 한마디",1260,23,0
2026-09-19T23:49:19+00:00,200y3b,Xl7oO1y_4A4,2026-09-11T15:32:20Z,12,"""That's the spirit!"" 무슨 뜻일까? | 매일 영어 한마디",375,6,0
2026-09-19T23:49:19+00:00,200y3b,-Xy8vY5sQfo,2026-09-11T10:49:31Z,10,"""I mean it."" 무슨 뜻일까? | 매일 영어 한마디",1077,9,0
2026-09-19T23:49:19+00:00,200y3b,vAQLmxbe4_o,2026-09-11T01:35:49Z,10,"""Let's wrap it up."" 무슨 뜻일까? | 매일 영어 한마디",243,5,0
2026-09-19T23:49:19+00:00,200y3b,Mb4y-g8aEXU,2026-09-10T15:30:42Z,11,"""I'm stuck."" 무슨 뜻일까? | 매일 영어 한마디",1536,12,0
2026-09-19T23:49:19+00:00,200y3b,CcYiE-a9Gzw,2026-09-10T10:52:57Z,12,"""It's worth a shot."" 무슨 뜻일까? | 매일 영어 한마디",410,5,0
2026-09-19T23:49:19+00:00,200y3b,PPW_iRJ_xPQ,2026-09-10T01:36:32Z,11,"""I'll take a rain check."" 무슨 뜻일까? | 매일 영어 한마디",1014,29,0
2026-09-19T23:49:19+00:00,200y3b,hPqLtiJfXgQ,2026-09-09T15:34:36Z,12,"""That's a stretch."" 무슨 뜻일까? | 매일 영어 한마디",1059,20,0
2026-09-19T23:49:19+00:00,200y3b,chgi7DV_-DU,2026-09-09T10:56:49Z,11,"""I'm here for you."" 무슨 뜻일까? | 매일 영어 한마디",799,18,0
2026-09-19T23:49:19+00:00,200y3b,yRZvuoqppXs,2026-09-09T01:41:35Z,11,"""Let's cut to the chase."" 무슨 뜻일까? | 매일 영어 한마디",1209,14,0
2026-09-19T23:49:19+00:00,200y3b,m5iEb4zBbJ0,2026-09-08T15:40:54Z,13,"""It's out of my hands."" 무슨 뜻일까? | 매일 영어 한마디",978,13,1
2026-09-19T23:49:19+00:00,200y3b,Iv5qK6G2F1U,2026-09-08T10:50:40Z,12,"""I'm down for that."" 무슨 뜻일까? | 매일 영어 한마디",519,3,0
2026-09-19T23:49:19+00:00,200y3b,UEHMeCtwBq0,2026-09-08T01:34:08Z,12,"""That rings a bell."" 무슨 뜻일까? | 매일 영어 한마디",1034,19,0
2026-09-19T23:49:19+00:00,200y3b,JBeaXVJUWEs,2026-09-07T16:52:59Z,11,"""I can't make it."" 무슨 뜻일까? | 매일 영어 한마디",1221,10,0
2026-09-19T23:49:19+00:00,200y3b,kMDo0gXqGQA,2026-09-07T11:53:56Z,11,"""Give me a second."" 무슨 뜻일까? | 매일 영어 한마디",520,3,0
2026-09-19T23:49:19+00:00,200y3b,t2HBA4M4FBc,2026-09-07T01:24:40Z,13,"""I'm looking forward to it."" 무슨 뜻일까? | 매일 영어 한마디",902,17,0
2026-09-19T23:49:19+00:00,200y3b,xuuhUDetlgE,2026-09-06T14:38:33Z,12,"""It's not a big deal."" 무슨 뜻일까? | 매일 영어 한마디",160,1,0
2026-09-19T23:49:19+00:00,200y3b,LT3TAn9Ri_Q,2026-09-06T14:10:10Z,483,영어 회화 표현 35개 몰아듣기 | 생활 영어 흘려듣기 8분,6,0,0
2026-09-19T23:49:19+00:00,200y3b,3u53eydwlrE,2026-09-06T10:30:49Z,12,"""Let's touch base later."" 무슨 뜻일까? | 매일 영어 한마디",443,12,0
2026-09-19T23:49:19+00:00,200y3b,ZXjEXyWdKjs,2026-09-06T01:26:11Z,12,"""I'm on the fence."" 무슨 뜻일까? | 매일 영어 한마디",1057,23,0
2026-09-19T23:49:19+00:00,200y3b,EJqD6Jq-ktU,2026-09-05T14:15:12Z,11,"""That's a bummer."" 무슨 뜻일까? | 매일 영어 한마디",1084,16,0
2026-09-19T23:49:19+00:00,200y3b,Dc18GGsrJrg,2026-09-05T10:10:15Z,10,"""I'm beat."" 무슨 뜻일까? | 매일 영어 한마디",1036,19,0
2026-09-19T23:49:19+00:00,200y3b,mv-K7qe8cP4,2026-09-05T01:31:51Z,12,"""Let's play it by ear."" 무슨 뜻일까? | 매일 영어 한마디",1331,20,0
2026-09-19T23:49:19+00:00,200y3b,vKYGdafvjWw,2026-08-27T21:37:52Z,10,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",1141,6,0
2026-09-19T23:49:19+00:00,200y3b,KT3x9y3vjoA,2026-08-27T06:09:02Z,25,메뉴 주문할 때 이 표현 꼭 써보세요!,375,0,0
2026-09-19T23:49:19+00:00,200y3b,jG91mHl0rsc,2026-08-27T06:03:07Z,32,이 선물 어때? 친구에게 물어보는 표현!,180,1,0
2026-09-19T23:49:19+00:00,200y3b,YYKBwDSM9eM,2026-08-27T01:19:17Z,23,문제가 생겼을 때 필요한 표현!,2,0,0
2026-09-19T23:49:19+00:00,200y3b,ph4GPy2JYSU,2026-08-27T01:15:13Z,24,초대는 언제나 환영! Thank You for the Invitation,2,0,0
